dataset,category,file_path,file_type,metadata_score,flags,timeline_flags,anomaly
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00001.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00002.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00003.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00004.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00005.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00006.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00007.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00008.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00009.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00010.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00011.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00012.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00013.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00014.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00015.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00016.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00017.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00018.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00019.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00020.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00021.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00022.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00023.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
CASIA2,authentic_image,C:\Users\Dell\Downloads\AI-Driven Digital Evidence Integrity Monitoring System for Secure Forensic Investigation\metadata_forensics\datasets\CASIA2\Au\Au_ani_00024.jpg,image,60,camera_model_missing; camera_make_missing,file modified after creation,False
